kata,jenis,pengucapan,penjelasan,arti,gambar
anglophone,adjective,ˈaŋ-glə-ˌfōn,terdiri dari atau milik populasi berbahasa Inggris terutama di negara di mana dua atau lebih bahasa diucapkan,Anglophone,Default.jpg
confessionals,noun,kən-ˈfesh-nəl,tempat di mana seorang pendeta mendengar pengakuan,pengakuan dosa,Default.jpg
citicardscom,None,None,None,Citicardscom,Default.jpg
flotilla,noun,flō-ˈti-lə,armada kapal atau kapal;Terutama: Unit Organisasi Angkatan Laut yang terdiri dari dua atau lebih skuadron kapal perang kecil,armada,Default.jpg
esops,noun,ˌē-ˌes-(ˌ)ō-ˈpē,sebuah program yang dengannya karyawan perusahaan memperoleh sahamnya,esops,Default.jpg
hnl,None,None,None,hnl,Default.jpg
holabird,None,None,None,Holabird,Default.jpg
fedorabulkingest,None,None,None,Fedorabulkingest,Default.jpg
glbtq,abbreviation,GLBTQ,"Gay, lesbian, biseksual, transgender, dan aneh/bertanya (identitas seksual atau gender seseorang)",Glbtq,Default.jpg
ar,noun,ˈär,huruf r,ar,Default.jpg
bwana,noun,ˈbwä-nə,"Tuan, Bos",Bwana,Default.jpg
drom,None,None,None,drom,Default.jpg
balis,None,None,None,Balis,Default.jpg
entrepreneurship,noun,ˌän-trə-p(r)ə-ˈnər,"orang yang mengatur, mengelola, dan menanggung risiko bisnis atau perusahaan",kewiraswastaan,Default.jpg
sobers,verb,sober,untuk membuat sadar,Sobers,Default.jpg
jardin,French quotation from {i_link|Voltaire|Voltaire:b},ēl-fō-kᵫl-tē-vā-nȯt-zhär-daⁿ,Kita harus mengolah kebun kita: kita harus merawat urusan kita sendiri,Jardin,Default.jpg
xlvi,None,None,None,xlvi,Default.jpg
interquartile,None,None,None,interkuartil,Default.jpg
elks,noun,ˈelk,Moose —) untuk salah satu dunia lama,Elks,Default.jpg
canal,noun,kə-ˈnal,Sebuah saluran anatomi tubular atau saluran: saluran,kanal,Default.jpg
bakes,verb,ˈbāk,untuk memasak dengan api kering terutama dalam oven,Bakes,Default.jpg
biocentrics,None,None,None,Biosentrik,Default.jpg
mustunderstand,None,None,None,mustunderstand,Default.jpg
estara,None,None,None,Estara,Default.jpg
coreid,None,None,None,Coreid,Default.jpg
vastness,adjective,ˈvast,"sangat bagus dalam ukuran, jumlah, derajat, intensitas, atau terutama dalam tingkat atau kisaran",keluasan,Default.jpg
morbus,noun,ˈkä-lə-rə-ˈmȯr-bəs,"Penyakit gastrointestinal ditandai oleh kram, diare, dan terkadang muntah",Morbus,Default.jpg
mattm,None,None,None,Mattm,Default.jpg
slugnet,None,None,None,slugnet,Default.jpg
forelle,None,None,None,Forelle,Default.jpg
ccim,None,None,None,CCIM,Default.jpg
enclaves,noun,ˈen-ˌklāv,"unit teritorial, budaya, atau sosial yang berbeda tertutup di dalam atau seolah -olah di dalam wilayah asing",Enclaves,Default.jpg
schultz,None,None,None,Schultz,Default.jpg
bild,None,None,None,Bild,Default.jpg
hatshepsut,None,None,None,Hatshepsut,Default.jpg
explodes,verb,ik-ˈsplōd,untuk meledak dengan kekerasan tiba -tiba atau kebisingan dari energi internal: seperti,meledak,Default.jpg
formalisms,noun,ˈfȯr-mə-ˌli-zəm,praktik atau doktrin kepatuhan yang ketat terhadap bentuk yang ditentukan atau eksternal (seperti dalam agama atau seni);Juga: contoh dari ini,formalisme,Default.jpg
vivica,None,None,None,Vivica,Default.jpg
wavefront,noun,wave front,Permukaan yang disusun setiap saat dari semua titik yang baru saja dicapai oleh gangguan getaran dalam perambatannya melalui media,Wavefront,Default.jpg
dharmakirti,None,None,None,Dharmakirti,Default.jpg
perge,None,None,None,Perge,Default.jpg
humiliations,verb,hyü-ˈmi-lē-ˌāt,untuk mengurangi (seseorang) ke posisi yang lebih rendah di mata sendiri atau mata orang lain: membuat (seseorang) malu atau malu: Mortif,penghinaan,Default.jpg
cifs,None,None,None,CIFS,Default.jpg
flunk,verb,ˈfləŋk,gagal terutama dalam ujian atau kursus,gagal,Default.jpg
ndi,None,None,None,ndi,Default.jpg
postino,None,None,None,Postino,Default.jpg
guti,None,None,None,guti,Default.jpg
cyalume,None,None,None,Cyalume,Default.jpg
diges,None,None,None,penggige,Default.jpg
oco,None,None,None,Oco,Default.jpg
forecasting,verb,ˈfȯr-ˌkast,untuk menghitung atau memprediksi (beberapa peristiwa atau kondisi di masa depan) biasanya sebagai hasil dari studi dan analisis data terkait yang tersedia;Terutama: untuk memprediksi (kondisi cuaca) berdasarkan pengamatan meteorologi yang berkorelasi,peramalan,Default.jpg
enlistment,verb,in-ˈlist,untuk mendapatkan dukungan dan bantuan: mempekerjakan dalam memajukan minat,pendaftaran,Default.jpg
darthamerica,None,None,None,Darthamerica,Default.jpg
thehub,None,None,None,Thehub,Default.jpg
spaceframe,noun,space frame,Kerangka kerja tiga dimensi yang biasanya terbuka dari struts dan kawat gigi (seperti pada bangunan dan mobil balap) yang mendefinisikan struktur dan mendistribusikan bobotnya secara merata di segala arah,bingkai ruang,Default.jpg
robbe,biographical name,ˌrȯ-bə-grē-ˈyā,Alain 1922—2008 Penulis Prancis,Robbe,Default.jpg
evora,geographical name,ˈe-vu̇-rə,Kota di South Central Portugal Populasi 56.519,Evora,Default.jpg
cohabitant,verb,(ˌ)kō-ˈha-bət,untuk hidup bersama atau seolah -olah pasangan yang sudah menikah,Cohabitant,Default.jpg
shantha,None,None,None,Shantha,Default.jpg
roogle,None,None,None,Roogle,Default.jpg
tfpsat,None,None,None,tfpsat,Default.jpg
andreola,None,None,None,Andreola,Default.jpg
blare,verb,ˈbler,untuk terdengar keras dan melengkung,bunyi keras,Default.jpg
hyles,None,None,None,Hyles,Default.jpg
wristwear,None,None,None,pakaian tangan,Default.jpg
ep,abbreviation or noun,ˈē-ˈpē,Rekaman musik yang biasanya lebih panjang dari single dan lebih pendek dari album full-length-disebut juga diperpanjang bermain,Ep,Default.jpg
cdexpress,None,None,None,CDExpress,Default.jpg
boy,noun,ˈbȯi,seorang anak laki -laki sejak lahir hingga dewasa,anak laki-laki,Default.jpg
maicrosoft,None,None,None,Microsoft,Default.jpg
mogae,None,None,None,mogae,Default.jpg
peso,noun,ˈpā-(ˌ)sō,Koin perak tua Spanyol dan Amerika Spanyol setara dengan delapan reales,peso,Default.jpg
picton,None,None,None,picton,Default.jpg
geleverd,None,None,None,Geleverd,Default.jpg
fatloss,None,None,None,kehilangan lemak,Default.jpg
artificial,adjective,ˌär-tə-ˈfi-shᵊl,Digester secara manusiawi sering pada model alami: buatan manusia,palsu,Default.jpg
pozar,None,None,None,Pozar,Default.jpg
problems,noun,ˈprä-bləm,"Pertanyaan yang diajukan untuk penyelidikan, pertimbangan, atau solusi",masalah,Default.jpg
eqnikhs,None,None,None,eqnikhs,Default.jpg
hens,noun,ˈhen,Seekor ayam betina terutama lebih dari setahun;Secara luas: seekor burung betina,ayam,Default.jpg
monda,None,None,None,Monda,Default.jpg
dhite,None,None,None,Dhite,Default.jpg
mkdoc,None,None,None,mkdoc,Default.jpg
soutter,None,None,None,Soutter,Default.jpg
parishioner,noun,pə-ˈri-sh(ə-)nər,seorang anggota atau penduduk paroki,umat paroki,Default.jpg
masaharu,None,None,None,Masaharu,Default.jpg
homogenize,verb,hō-ˈmä-jə-ˌnīz,untuk memadukan (beragam elemen) menjadi campuran yang sama di seluruh,homogenisasi,Default.jpg
fen,noun,ˈfen,Tanah rendah yang ditutupi seluruhnya atau sebagian dengan air kecuali jika dikeringkan secara artifisial dan yang biasanya memiliki tanah alkali gambut dan flora khas (seperti edge dan buluh),rawa,Default.jpg
aeoe,None,None,None,aeoe,Default.jpg
cych,None,None,None,cych,Default.jpg
traven,None,None,None,Traven,Default.jpg
bunko,noun,ˈbəŋ-(ˌ)kō,permainan atau skema penipuan,kecurangan,Default.jpg
cantel,None,None,None,mercu kepala,Default.jpg
uln,None,None,None,Uln,Default.jpg
talkingpointsmemo,None,None,None,TalkePointsmemo,Default.jpg
syrena,None,None,None,Syrena,Default.jpg
inorganics,None,None,None,anorganik,Default.jpg
urmia,None,None,None,Urmia,Default.jpg
denywebrename,None,None,None,DENYWEBREName,Default.jpg
facetted,noun,ˈfa-sət,Setiap aspek yang dapat ditentukan yang membentuk subjek (saat kontemplasi) atau objek (sebagai pertimbangan),facetted,Default.jpg
torquata,None,None,None,Torqua,Default.jpg
perlscript,None,None,None,Perlscript,Default.jpg
berenstain,None,None,None,Berenstain,Default.jpg
reptar,None,None,None,Reptar,Default.jpg
herentals,None,None,None,HERENTALS,Default.jpg
hec,None,None,None,HEC,Default.jpg
jazzmatazz,None,None,None,jazzmatazz,Default.jpg
tapioca,noun,ˌta-pē-ˈō-kə,persiapan granular pati singkong yang digunakan terutama pada puding dan sebagai penebalan makanan cair;Juga: hidangan (seperti puding) yang mengandung tapioka,tapioka,Default.jpg
uptoten,None,None,None,sampai sepuluh,Default.jpg
derivate,noun,ˈder-ə-ˌvāt,turunan,turunan,Default.jpg
chirped,verb,ˈchərp,untuk membuat kicauan atau suara yang menyerupai kicauan,berkicau,Default.jpg
mescalero,noun,ˌme-skə-ˈler-(ˌ)ō,Seorang anggota orang Apache Texas dan New Mexico,Mescalero,Default.jpg
hispidus,None,None,None,Hispidus,Default.jpg
marylander,geographical name,ˈmer-ə-lənd,"Negara bagian di AS timur di kedua sisi Chesapeake Bay dan berbatasan dengan Atlantik;Capital Annapolis Area 10.460 mil persegi (27.091 kilometer persegi), populasi 5.773.552",Marylander,Default.jpg
rvm,None,None,None,RVM,Default.jpg
lickers,None,None,None,Lickers,Default.jpg
watchtowers,noun,ˈwäch-ˌtau̇(-ə)r,Menara untuk mencari,Watchtowers,Default.jpg
nonmedically,None,None,None,nonmedically,Default.jpg
coleambally,None,None,None,Coleambally,Default.jpg
databank,noun,data bank,database,Databank,Default.jpg
chowning,None,None,None,chowning,Default.jpg
yauoo,None,None,None,Yahoo,Default.jpg
loner,noun,ˈlō-nər,yang menghindari orang lain: seperti,seorang penyendiri,Default.jpg
zmodem,None,None,None,zmodem,Default.jpg
wxm,None,None,None,wxm,Default.jpg
hughley,None,None,None,Hughley,Default.jpg
autho,None,None,None,autho,Default.jpg
avandamet,None,None,None,Avandamet,Default.jpg
smartfilter,None,None,None,SmartFilter,Default.jpg
keimeno,None,None,None,Keimeno,Default.jpg
asparaginase,noun,ˈel-a-ˈsper-ə-jə-ˌnās,"Enzim yang memecah bentuk asparagin yang lebih umum secara fisiologis, diperoleh terutama dari bakteri, dan digunakan terutama untuk mengobati leukemia",asparaginase,Default.jpg
barbarism,noun,ˈbär-bə-ˌri-zəm,Kondisi sosial atau intelektual barbar atau biadab: keterbelakangan,barbarisme,Default.jpg
matsushima,geographical name,ˌmät-sü-ˈshē-mə,Kelompok lebih dari 200 pulau Jepang di Luar Honshu utara timur laut Sendai,Matsushima,Default.jpg
nchum,None,None,None,nchum,Default.jpg
takeout,noun,ˈtāk-ˌau̇t,makanan siap saji dikemas untuk dikonsumsi jauh dari tempat penjualannya,mengambil,Default.jpg
unimaginative,adjective,ˌən-ə-ˈmaj-nə-tiv,memiliki atau menunjukkan kurangnya imajinasi atau orisinalitas: tidak imajinatif,tidak imajinatif,Default.jpg
whups,verb,ˈ(h)wu̇p,untuk melakukan pemukulan terutama sebagai hukuman,whups,Default.jpg
vocoders,noun,ˈvō-ˈkō-dər,Mekanisme elektronik yang mengurangi sinyal bicara untuk secara perlahan bervariasi sinyal yang dapat ditransmisikan melalui sistem komunikasi bandwidth frekuensi terbatas,vocoders,Default.jpg
nif,None,None,None,nif,Default.jpg
investimento,None,None,None,investimento,Default.jpg
nondist,None,None,None,nondis,Default.jpg
vga,abbreviation,VGA,Array Grafis Video,VGA,Default.jpg
teleconverter,None,None,None,Teleconverter,Default.jpg
outrank,verb,ˌau̇t-ˈraŋk,untuk peringkat lebih tinggi dari,berpangkat lebih tinggi dr,Default.jpg
univega,None,None,None,Univega,Default.jpg
blackwelder,None,None,None,Blackwelder,Default.jpg
mortis,noun,ˌri-gər-ˈmȯr-təs,kekakuan sementara otot yang terjadi setelah kematian,Mortis,Default.jpg
baliga,None,None,None,Baliga,Default.jpg
subkeys,None,None,None,Subkey,Default.jpg
muralidharan,None,None,None,Muralidharan,Default.jpg
hijackfree,None,None,None,HijackFree,Default.jpg
bearnaise,noun,ˈbā-är-ˌnāz-,"Saus kuning telur dan mentega yang dibumbui dengan bawang merah, anggur, cuka, dan bumbu",Bearnaise,Default.jpg
